#Episode  Epsilon     Score   ScoreAvg
       0  1.000000     3.000    3.0000  
       1  0.998000     1.000    2.0000  
       2  0.996000     1.000    1.6667  
       3  0.994000     2.000    1.7500  
       4  0.992000     0.000    1.4000  
       5  0.990000     0.000    1.1667  
       6  0.988000     1.000    1.1429  
       7  0.986000     1.000    1.1250  
       8  0.984000     2.000    1.2222  
       9  0.982000     0.000    1.1000  
      10  0.980000     2.000    1.0000  
      11  0.978000     1.000    1.0000  
      12  0.976000     0.000    0.9000  
      13  0.974000     5.000    1.2000  
      14  0.972000     3.000    1.5000  
      15  0.970000     1.000    1.6000  
      16  0.968000     2.000    1.7000  
      17  0.966000     1.000    1.7000  
      18  0.964000     3.000    1.8000  
      19  0.962000     1.000    1.9000  
      20  0.960000     4.000    2.1000  
      21  0.958000     0.000    2.0000  
      22  0.956000     3.000    2.3000  
      23  0.954000     1.000    1.9000  
      24  0.952000     3.000    1.9000  
      25  0.950000     1.000    1.9000  
      26  0.948000     2.000    1.9000  
      27  0.946000     3.000    2.1000  
      28  0.944000     0.000    1.8000  
      29  0.942000     3.000    2.0000  
      30  0.940000     0.000    1.6000  
      31  0.938000     3.000    1.9000  
      32  0.936000     4.000    2.0000  
      33  0.934000     2.000    2.1000  
      34  0.932000     2.000    2.0000  
      35  0.930000     1.000    2.0000  
      36  0.928000     0.000    1.8000  
      37  0.926000     3.000    1.8000  
      38  0.924000     1.000    1.9000  
      39  0.922000     2.000    1.8000  
      40  0.920000     2.000    2.0000  
      41  0.918000     1.000    1.8000  
      42  0.916000     2.000    1.6000  
      43  0.914000     2.000    1.6000  
      44  0.912000     2.000    1.6000  
      45  0.910000     1.000    1.6000  
      46  0.908000     1.000    1.7000  
      47  0.906000     1.000    1.5000  
      48  0.904000     3.000    1.7000  
      49  0.902000     2.000    1.7000  
      50  0.900000     0.000    1.5000  
      51  0.898000     0.000    1.4000  
      52  0.896000     3.000    1.5000  
      53  0.894000     5.000    1.8000  
      54  0.892000     2.000    1.8000  
      55  0.890000     3.000    2.0000  
      56  0.888000     3.000    2.2000  
      57  0.886000     0.000    2.1000  
      58  0.884000     2.000    2.0000  
      59  0.882000     2.000    2.0000  
      60  0.880000     1.000    2.1000  
      61  0.878000     4.000    2.5000  
      62  0.876000     0.000    2.2000  
      63  0.874000     0.000    1.7000  
      64  0.872000     1.000    1.6000  
      65  0.870000     2.000    1.5000  
      66  0.868000     0.000    1.2000  
      67  0.866000     4.000    1.6000  
      68  0.864000     3.000    1.7000  
      69  0.862000     1.000    1.6000  
      70  0.860000     2.000    1.7000  
      71  0.858000     0.000    1.3000  
      72  0.856000     2.000    1.5000  
      73  0.854000     2.000    1.7000  
      74  0.852000     3.000    1.9000  
      75  0.850000     3.000    2.0000  
      76  0.848000     4.000    2.4000  
      77  0.846000     2.000    2.2000  
      78  0.844000     3.000    2.2000  
      79  0.842000     2.000    2.3000  
      80  0.840000     1.000    2.2000  
      81  0.838000     2.000    2.4000  
      82  0.836000     1.000    2.3000  
      83  0.834000     3.000    2.4000  
      84  0.832000     3.000    2.4000  
      85  0.830000     1.000    2.2000  
      86  0.828000     3.000    2.1000  
      87  0.826000     0.000    1.9000  
      88  0.824000     2.000    1.8000  
      89  0.822000     2.000    1.8000  
      90  0.820000     1.000    1.8000  
      91  0.818000     2.000    1.8000  
      92  0.816000     4.000    2.1000  
      93  0.814000     3.000    2.1000  
      94  0.812000     5.000    2.3000  
      95  0.810000     2.000    2.4000  
      96  0.808000     4.000    2.5000  
      97  0.806000     2.000    2.7000  
      98  0.804000     3.000    2.8000  
      99  0.802000     4.000    3.0000  
     100  0.800000     3.000    3.2000  
     101  0.798000     1.000    3.1000  
     102  0.796000     1.000    2.8000  
     103  0.794000     1.000    2.6000  
     104  0.792000     1.000    2.2000  
     105  0.790000     3.000    2.3000  
     106  0.788000     2.000    2.1000  
     107  0.786000     1.000    2.0000  
     108  0.784000     1.000    1.8000  
     109  0.782000     4.000    1.8000  
     110  0.780000     4.000    1.9000  
     111  0.778000     4.000    2.2000  
     112  0.776000     3.000    2.4000  
     113  0.774000     4.000    2.7000  
     114  0.772000     5.000    3.1000  
     115  0.770000     4.000    3.2000  
     116  0.768000     5.000    3.5000  
     117  0.766000     8.000    4.2000  
     118  0.764000     2.000    4.3000  
     119  0.762000     5.000    4.4000  
     120  0.760000     4.000    4.4000  
     121  0.758000     2.000    4.2000  
     122  0.756000     4.000    4.3000  
     123  0.754000     2.000    4.1000  
     124  0.752000     1.000    3.7000  
     125  0.750000     6.000    3.9000  
     126  0.748000     4.000    3.8000  
     127  0.746000     7.000    3.7000  
     128  0.744000     3.000    3.8000  
     129  0.742000     6.000    3.9000  
     130  0.740000     3.000    3.8000  
     131  0.738000     1.000    3.7000  
     132  0.736000     3.000    3.6000  
     133  0.734000     5.000    3.9000  
     134  0.732000     4.000    4.2000  
     135  0.730000     2.000    3.8000  
     136  0.728000     4.000    3.8000  
     137  0.726000     2.000    3.3000  
     138  0.724000     1.000    3.1000  
     139  0.722000     1.000    2.6000  
     140  0.720000     1.000    2.4000  
     141  0.718000     4.000    2.7000  
     142  0.716000     5.000    2.9000  
     143  0.714000     2.000    2.6000  
     144  0.712000     1.000    2.3000  
     145  0.710000     3.000    2.4000  
     146  0.708000     1.000    2.1000  
     147  0.706000     4.000    2.3000  
     148  0.704000     4.000    2.6000  
     149  0.702000     6.000    3.1000  
     150  0.700000     6.000    3.6000  
     151  0.698000     7.000    3.9000  
     152  0.696000     4.000    3.8000  
     153  0.694000     2.000    3.8000  
     154  0.692000     3.000    4.0000  
     155  0.690000     3.000    4.0000  
     156  0.688000     2.000    4.1000  
     157  0.686000     5.000    4.2000  
     158  0.684000     5.000    4.3000  
     159  0.682000     1.000    3.8000  
     160  0.680000     6.000    3.8000  
     161  0.678000     4.000    3.5000  
     162  0.676000     5.000    3.6000  
     163  0.674000     2.000    3.6000  
     164  0.672000     6.000    3.9000  
     165  0.670000     6.000    4.2000  
     166  0.668000     2.000    4.2000  
     167  0.666000     3.000    4.0000  
     168  0.664000     3.000    3.8000  
     169  0.662000     3.000    4.0000  
     170  0.660000     6.000    4.0000  
     171  0.658000     3.000    3.9000  
     172  0.656000     5.000    3.9000  
     173  0.654000     8.000    4.5000  
     174  0.652000     3.000    4.2000  
     175  0.650000     5.000    4.1000  
     176  0.648000     3.000    4.2000  
     177  0.646000     7.000    4.6000  
     178  0.644000     6.000    4.9000  
     179  0.642000     2.000    4.8000  
     180  0.640000     3.000    4.5000  
     181  0.638000     4.000    4.6000  
     182  0.636000     5.000    4.6000  
     183  0.634000     1.000    3.9000  
     184  0.632000     8.000    4.4000  
     185  0.630000     7.000    4.6000  
     186  0.628000     7.000    5.0000  
     187  0.626000     4.000    4.7000  
     188  0.624000     5.000    4.6000  
     189  0.622000     8.000    5.2000  
     190  0.620000     3.000    5.2000  
     191  0.618000     5.000    5.3000  
     192  0.616000     2.000    5.0000  
     193  0.614000     1.000    5.0000  
     194  0.612000     2.000    4.4000  
     195  0.610000     7.000    4.4000  
     196  0.608000     4.000    4.1000  
     197  0.606000     5.000    4.2000  
     198  0.604000     5.000    4.2000  
     199  0.602000     3.000    3.7000  
     200  0.600000     2.000    3.6000  
     201  0.598000     5.000    3.6000  
     202  0.596000     7.000    4.1000  
     203  0.594000     6.000    4.6000  
     204  0.592000     4.000    4.8000  
     205  0.590000     4.000    4.5000  
     206  0.588000     4.000    4.5000  
     207  0.586000     6.000    4.6000  
     208  0.584000     6.000    4.7000  
     209  0.582000     5.000    4.9000  
     210  0.580000     2.000    4.9000  
     211  0.578000     3.000    4.7000  
     212  0.576000     4.000    4.4000  
     213  0.574000     4.000    4.2000  
     214  0.572000     7.000    4.5000  
     215  0.570000     2.000    4.3000  
     216  0.568000     5.000    4.4000  
     217  0.566000     7.000    4.5000  
     218  0.564000     2.000    4.1000  
     219  0.562000     5.000    4.1000  
     220  0.560000     6.000    4.5000  
     221  0.558000     1.000    4.3000  
     222  0.556000     5.000    4.4000  
     223  0.554000     6.000    4.6000  
     224  0.552000     5.000    4.4000  
     225  0.550000     6.000    4.8000  
     226  0.548000     5.000    4.8000  
     227  0.546000     3.000    4.4000  
     228  0.544000     3.000    4.5000  
     229  0.542000     5.000    4.5000  
     230  0.540000     6.000    4.5000  
     231  0.538000     3.000    4.7000  
     232  0.536000     4.000    4.6000  
     233  0.534000     7.000    4.7000  
     234  0.532000     3.000    4.5000  
     235  0.530000     6.000    4.5000  
     236  0.528000     6.000    4.6000  
     237  0.526000     8.000    5.1000  
     238  0.524000     6.000    5.4000  
     239  0.522000    11.000    6.0000  
     240  0.520000     7.000    6.1000  
     241  0.518000     1.000    5.9000  
     242  0.516000     5.000    6.0000  
     243  0.514000     5.000    5.8000  
     244  0.512000     3.000    5.8000  
     245  0.510000     6.000    5.8000  
     246  0.508000     1.000    5.3000  
     247  0.506000     5.000    5.0000  
     248  0.504000     9.000    5.3000  
     249  0.502000     5.000    4.7000  
     250  0.500000     6.000    4.6000  
     251  0.498000     9.000    5.4000  
     252  0.496000     4.000    5.3000  
     253  0.494000     7.000    5.5000  
     254  0.492000     4.000    5.6000  
     255  0.490000     4.000    5.4000  
     256  0.488000     5.000    5.8000  
     257  0.486000     7.000    6.0000  
     258  0.484000     4.000    5.5000  
     259  0.482000     6.000    5.6000  
     260  0.480000     6.000    5.6000  
     261  0.478000     8.000    5.5000  
     262  0.476000     4.000    5.5000  
     263  0.474000     4.000    5.2000  
     264  0.472000     4.000    5.2000  
     265  0.470000     6.000    5.4000  
     266  0.468000     9.000    5.8000  
     267  0.466000     9.000    6.0000  
     268  0.464000     4.000    6.0000  
     269  0.462000     6.000    6.0000  
     270  0.460000     3.000    5.7000  
     271  0.458000     8.000    5.7000  
     272  0.456000     4.000    5.7000  
     273  0.454000     5.000    5.8000  
     274  0.452000     9.000    6.3000  
     275  0.450000     7.000    6.4000  
     276  0.448000     4.000    5.9000  
     277  0.446000     6.000    5.6000  
     278  0.444000     7.000    5.9000  
     279  0.442000     8.000    6.1000  
     280  0.440000     7.000    6.5000  
     281  0.438000     8.000    6.5000  
     282  0.436000     9.000    7.0000  
     283  0.434000     6.000    7.1000  
     284  0.432000     6.000    6.8000  
     285  0.430000     3.000    6.4000  
     286  0.428000     6.000    6.6000  
     287  0.426000     5.000    6.5000  
     288  0.424000    11.000    6.9000  
     289  0.422000     9.000    7.0000  
     290  0.420000     7.000    7.0000  
     291  0.418000     6.000    6.8000  
     292  0.416000     2.000    6.1000  
     293  0.414000     5.000    6.0000  
     294  0.412000     5.000    5.9000  
     295  0.410000     8.000    6.4000  
     296  0.408000     5.000    6.3000  
     297  0.406000     4.000    6.2000  
     298  0.404000     9.000    6.0000  
     299  0.402000     8.000    5.9000  
     300  0.400000     8.000    6.0000  
     301  0.398000     6.000    6.0000  
     302  0.396000     7.000    6.5000  
     303  0.394000     6.000    6.6000  
     304  0.392000     6.000    6.7000  
     305  0.390000     5.000    6.4000  
     306  0.388000     7.000    6.6000  
     307  0.386000     4.000    6.6000  
     308  0.384000     8.000    6.5000  
     309  0.382000     3.000    6.0000  
     310  0.380000     6.000    5.8000  
     311  0.378000     7.000    5.9000  
     312  0.376000     8.000    6.0000  
     313  0.374000     9.000    6.3000  
     314  0.372000     6.000    6.3000  
     315  0.370000     4.000    6.2000  
     316  0.368000     3.000    5.8000  
     317  0.366000     5.000    5.9000  
     318  0.364000     5.000    5.6000  
     319  0.362000     4.000    5.7000  
     320  0.360000     3.000    5.4000  
     321  0.358000     8.000    5.5000  
     322  0.356000     3.000    5.0000  
     323  0.354000     6.000    4.7000  
     324  0.352000     6.000    4.7000  
     325  0.350000     7.000    5.0000  
     326  0.348000     3.000    5.0000  
     327  0.346000     3.000    4.8000  
     328  0.344000     8.000    5.1000  
     329  0.342000     9.000    5.6000  
     330  0.340000     7.000    6.0000  
     331  0.338000     8.000    6.0000  
     332  0.336000     9.000    6.6000  
     333  0.334000    11.000    7.1000  
     334  0.332000     6.000    7.1000  
     335  0.330000     6.000    7.0000  
     336  0.328000     4.000    7.1000  
     337  0.326000     6.000    7.4000  
     338  0.324000    11.000    7.7000  
     339  0.322000     7.000    7.5000  
     340  0.320000     7.000    7.5000  
     341  0.318000     8.000    7.5000  
     342  0.316000     4.000    7.0000  
     343  0.314000    11.000    7.0000  
     344  0.312000     6.000    7.0000  
     345  0.310000     6.000    7.0000  
     346  0.308000     5.000    7.1000  
     347  0.306000     7.000    7.2000  
     348  0.304000     6.000    6.7000  
     349  0.302000    11.000    7.1000  
     350  0.300000     4.000    6.8000  
     351  0.298000    12.000    7.2000  
     352  0.296000     9.000    7.7000  
     353  0.294000     5.000    7.1000  
     354  0.292000     4.000    6.9000  
     355  0.290000     5.000    6.8000  
     356  0.288000     5.000    6.8000  
     357  0.286000     4.000    6.5000  
     358  0.284000     6.000    6.5000  
     359  0.282000     6.000    6.0000  
     360  0.280000     3.000    5.9000  
